Host Pool, RDP Property, Value 1, Value 2, Status
HB-RA-Tax1,usbdevicestoredirect,s,*
HB-RA-Tax1,enablecredsspsupport,i,1
HB-RA-Tax1,use multimon,i,1
HB-RA-Tax1,audiocapturemode,i,1
HB-RA-Tax1,redirected video capture encoding quality,i,1
HB-RA-Tax1,camerastoredirect,s,*
HB-RA-Tax1,maximizetocurrentdisplays,i,1
HB-RA-Tax1,singlemoninwindowedmode,i,1
HB-RA-Tax1,screen mode id,i,2
HB-RA-Tax1,smart sizing,i,1
HB-RA-Tax2,audiomode,i,0
HB-RA-Tax2,videoplaybackmode,i,1
HB-RA-Tax2,redirectclipboard,i,1
HB-RA-Tax2,redirectprinters,i,1
HB-RA-Tax2,devicestoredirect,s,*
HB-RA-Tax2,redirectcomports,i,1
HB-RA-Tax2,redirectsmartcards,i,1
HB-RA-Tax2,usbdevicestoredirect,s,*
HB-RA-Tax2,enablecredsspsupport,i,1
HB-RA-Tax2,use multimon,i,1
HB-RemoteApps-1,audiomode,i,0
HB-RemoteApps-1,videoplaybackmode,i,1
HB-RemoteApps-1,redirectclipboard,i,1
HB-RemoteApps-1,redirectprinters,i,1
HB-RemoteApps-1,devicestoredirect,s,*
HB-RemoteApps-1,redirectcomports,i,1
HB-RemoteApps-1,redirectsmartcards,i,1
HB-RemoteApps-1,usbdevicestoredirect,s,*
HB-RemoteApps-1,enablecredsspsupport,i,1
HB-RemoteApps-1,use multimon,i,1
HB-RemoteApps-2,audiomode,i,0
HB-RemoteApps-2,videoplaybackmode,i,1
HB-RemoteApps-2,redirectclipboard,i,1
HB-RemoteApps-2,redirectprinters,i,1
HB-RemoteApps-2,devicestoredirect,s,*
HB-RemoteApps-2,redirectcomports,i,1
HB-RemoteApps-2,redirectsmartcards,i,1
HB-RemoteApps-2,usbdevicestoredirect,s,*
HB-RemoteApps-2,enablecredsspsupport,i,1
HB-RemoteApps-2,use multimon,i,1
HB-RemoteApps-2,audiocapturemode,i,1
HB-RemoteApps-2,redirected video capture encoding quality,i,1
HB-RemoteApps-2,camerastoredirect,s,*
HB-RemoteApps-2,maximizetocurrentdisplays,i,1
HB-RemoteApps-2,singlemoninwindowedmode,i,1
HB-RemoteApps-2,screen mode id,i,2
HB-RemoteApps-2,smart sizing,i,1
HB-WVD-BetaTest,screen mode id,i,2
HB-WVD-BetaTest,singlemoninwindowedmode,i,1
HB-WVD-BetaTest,maximizetocurrentdisplays,i,1
HB-WVD-BetaTest,camerastoredirect,s,*
HB-WVD-BetaTest,redirected video capture encoding quality,i,1
HB-WVD-BetaTest,audiocapturemode,i,1
HB-WVD-BetaTest,use multimon,i,1
